query	no	token	pos
전주 여행	12	결정	NNG
전주 여행	12	가지	NNBC
전주 여행	12	요소	NNG
전주 여행	12	고려	NNG
전주 여행	12	필요	NNG
전주 여행	12	습니다	EF
전주 여행	13	펜션	NNG
전주 여행	13	한옥	NNG
전주 여행	13	으로	JKB
전주 여행	13	이번	NNG
전주 여행	13	남자	NNG
전주 여행	13	친구	NNG
전주 여행	13	같이	MAG
전주 여행	13	해서	VV+EC
전주 여행	13	얼른	MAG
전주 여행	13	펜션	NNG
전주 여행	13	봐야	VX+EC
전주 여행	13	는데	EC
전주 여행	13	한옥	NNG
전주 여행	13	마을	NNG
전주 여행	13	근처	NNG
전주 여행	13	한옥	NNG
전주 여행	13	느낌	MAG
전주 여행	13	펜션	NNG
전주 여행	13	으로	JKB
전주 여행	13	을까요	EC
전주 여행	13	내부	NNG
전주 여행	13	정감	NNG
전주 여행	13	분위기	NNG
전주 여행	13	아요	EF
전주 여행	13	빠른	VA+ETM
전주 여행	13	답변	NNG
전주 여행	13	부탁	NNG
전주 여행	14	세요	EP+EF
전주 여행	14	한옥마을	NNP
전주 여행	14	유명	XR
전주 여행	14	완산구	NNP
전주 여행	14	으며	EC
전주 여행	14	덕진구	NNP
전주 여행	14	또한	MAJ
전주 여행	14	멋진	VA+ETM
전주 여행	14	추억	NNG
전주 여행	14	가진	VV+ETM
전주 여행	14	장소	NNG
전주 여행	14	많이	MAG
전주 여행	14	습니다	EF
전주 여행	14	완산구	NNP
전주 여행	14	덕진구	NNP
전주 여행	14	대해서	VV+EC
전주 여행	15	뚜벅	MAG
전주 여행	15	엄마	NNG
전주 여행	15	뚜벅	MAG
전주 여행	15	계획	NNG
전주 여행	15	인데	VCP+EC
전주 여행	15	답변	NNG
전주 여행	15	부탁	NNG
전주 여행	15	드려요	VV+EC
전주 여행	15	기차	NNG
전주 여행	15	고속버스	NNG
전주 여행	15	어떤	MM
전주 여행	15	을까요	EC
전주 여행	15	도착	NNG
전주 여행	15	해서	XSV+EC
전주 여행	15	관광	NNG
전주 여행	15	이용	NNG
전주 여행	15	교통수단	NNG
전주 여행	15	어떤	MM
전주 여행	15	을까요	EC
전주 여행	15	숙소	NNG
전주 여행	15	추천	NNG
전주 여행	15	부탁드려요	VV+EF
전주 여행	15	서울	NNP
전주 여행	16	당일치기	NNG
전주 여행	16	어렵	VA
전주 여행	16	네요	EF
전주 여행	16	당일치기	NNG
전주 여행	16	계획	NNG
전주 여행	16	군요	EF
전주 여행	16	에서	JKB
전주 여행	16	한옥마을	NNP
전주 여행	16	까지	JX
전주 여행	16	방법	NNG
전주 여행	16	당일치기	NNG
전주 여행	16	코스	NNG
전주 여행	16	알려	VV+EC
전주 여행	16	드릴게요	VX+EC
전주 여행	16	에서	JKB
전주 여행	16	한옥마을	NNP
전주 여행	16	까지	JX
전주 여행	16	방법	NNG
전주 여행	16	으로	JKB
전주 여행	16	택시	NNG
전주 여행	16	버스	NNG
전주 여행	16	어요	EF
전주 여행	16	에서	JKB
전주 여행	16	한옥마을	NNP
전주 여행	16	까지	JX
전주 여행	16	택시	NNG
전주 여행	17	경비	NNG
전주 여행	17	보통	NNG
전주 여행	17	경비	NNG
전주 여행	17	얼마	NNG
전주 여행	17	정도	NNG
전주 여행	17	드나	VV
전주 여행	17	숙소	NNG
전주 여행	17	13	SN
전주 여행	17	인데	VCP+EC
전주 여행	17	려고	EC
전주 여행	17	비싼	VA+ETM
전주 여행	17	건가요	NNB+VCP+EC
전주 여행	17	질문	NNG
전주 여행	17	도움	NNG
전주 여행	17	답변	NNG
전주 여행	17	바래	VV
전주 여행	17	예산	NNG
전주 여행	17	30	SN
전주 여행	17	내외	NNG
전주 여행	17	숙소	NNG
전주 여행	17	13	SN
전주 여행	17	적당	XR
전주 여행	17	합니다	XSA+EC
전주 여행	18	커플	NNG
전주 여행	18	대해	VV+EC
전주 여행	18	도움	NNG
전주 여행	18	드릴게요	VV+EC
전주 여행	18	남자	NNG
전주 여행	18	친구	NNG
전주 여행	18	이용	NNG
전주 여행	18	할지	XSV+EC
전주 여행	18	KTX	SL
전주 여행	18	이용	NNG
전주 여행	18	할지	XSV+EC
전주 여행	18	대해서	VV+EC
전주 여행	18	여러	MM
전주 여행	18	가지	NNBC
전주 여행	18	요소	NNG
전주 여행	18	고려	NNG
전주 여행	18	셔야	EP+EC
전주 여행	18	합니다	VX+EF
전주 여행	18	만약	MAG
전주 여행	18	교통	NNG
전주 여행	18	체증	NNG
전주 여행	18	예상	NNG
전주 여행	18	날짜	NNG
전주 여행	18	라면	VCP+EC
전주 여행	18	KTX	SL
전주 여행	18	이용	NNG
전주 여행	18	편할	VA+ETM
전주 여행	18	습니다	EF
전주 여행	18	또한	MAJ
전주 여행	18	남자	NNG
전주 여행	18	친구	NNG
전주 여행	19	려는데	EC
전주 여행	19	여행지	NNG
전주 여행	19	맛집	NNG
전주 여행	19	추천	NNG
전주 여행	19	세요	EP+EF
전주 여행	19	보리암	NNP
전주 여행	19	다랭이	NNG
전주 여행	19	독일	NNP
전주 여행	19	마을	NNG
전주 여행	19	한옥마을	NNP
전주 여행	19	두세	MM
전주 여행	19	맛집	NNG
전주 여행	19	빨리	MAG
전주 여행	19	추천	NNG
전주 여행	19	세요	EP+EF
전주 여행	19	라서	EC
전주 여행	19	추천	NNG
전주 여행	19	셔도	EP+EC
전주 여행	19	됩니다	VV+EF
전주 여행	19	맛집	NNG
전주 여행	20	추천	NNG
전주 여행	20	맛집	NNG
전주 여행	20	국내	NNG
전주 여행	20	주달	NNG
전주 여행	20	티비	NNG
전주 여행	20	코스	NNG
전주 여행	20	여수	NNG
전주 여행	20	여수	NNG
전주 여행	20	제주	NNP
전주 여행	20	제주도	NNP
전주 여행	20	전문	NNG
전주 여행	20	언서	NNG
전주 여행	20	주달	NNG
전주 여행	20	봉이	NNG
전주 여행	20	입니다	VCP+EF
전주 여행	20	코스	NNG
전주 여행	20	한옥	NNG
전주 여행	20	마을	NNG
전주 여행	20	에서부터	JKB
전주 여행	21	코스	NNG
전주 여행	21	질문	NNG
전주 여행	21	코스	NNG
전주 여행	21	전라도	NNP
전주 여행	21	어서	EC
전주 여행	21	맛집	NNG
전주 여행	21	국내	NNG
전주 여행	21	주달	NNG
전주 여행	21	티비	NNG
전주 여행	21	코스	NNG
전주 여행	21	여수	NNG
전주 여행	21	여수	NNG
전주 여행	21	제주	NNP
전주 여행	21	제주도	NNP
전주 여행	21	전문	NNG
전주 여행	21	언서	NNG
전주 여행	22	간다면	VV+EC
전주 여행	22	비용	NNG
전주 여행	22	얼마	NNG
전주 여행	22	나올까요	VV+EF
전주 여행	22	비용	NNG
전주 여행	22	여러	MM
전주 여행	22	요소	NNG
전주 여행	22	따라	VV+EC
전주 여행	22	달라지	VV
전주 여행	22	지만	EC
전주 여행	22	일반	NNG
전주 여행	22	으로	JKB
전주 여행	22	다음	NNG
전주 여행	22	항목	NNG
전주 여행	22	포함	NNG
전주 여행	22	됩니다	XSV+EC
전주 여행	22	교통비	NNG
전주 여행	22	까지	JX
전주 여행	22	이동	NNG
전주 여행	22	위한	VV+ETM
전주 여행	22	교통	NNG
전주 여행	22	비용	NNG
전주 여행	22	입니다	VCP+EF
전주 여행	23	코스	NNG
전주 여행	23	맛집	NNG
전주 여행	23	국내	NNG
전주 여행	23	주달	NNG
전주 여행	23	티비	NNG
전주 여행	23	코스	NNG
전주 여행	23	여수	NNG
전주 여행	23	여수	NNG
전주 여행	23	제주	NNP
전주 여행	23	제주도	NNP
전주 여행	23	전문	NNG
전주 여행	23	언서	NNG
전주 여행	23	주달	NNG
전주 여행	23	봉이	NNG
전주 여행	23	입니다	VCP+EF
전주 여행	23	코스	NNG
전주 여행	23	한옥	NNG
전주 여행	23	마을	NNG
전주 여행	23	에서부터	JKB
전주 여행	23	시작	NNG
전주 여행	24	당일치기	NNG
전주 여행	24	혼자	NNG
전주 여행	24	코스	NNG
전주 여행	24	추천	NNG
전주 여행	24	박물관	NNG
전주 여행	24	미술관	NNG
전주 여행	24	지역	NNG
전주 여행	24	공간	NNG
전주 여행	24	스토리	NNG
전주 여행	24	안내	NNG
전주 여행	24	해설	NNG
전주 여행	24	문화	NNG
전주 여행	24	코스	NNG
전주 여행	24	방지	NNG
전주 여행	24	위해	VV+EC
전주 여행	24	예약금	NNG
전주 여행	24	결제	NNG
전주 여행	24	현장	NNG
전주 여행	24	에서	JKB
전주 여행	24	상당	NNG
전주 여행	24	음료	NNG
전주 여행	24	기프	NNP
전주 여행	24	으로	JKB
전주 여행	24	환급	NNG
전주 여행	24	선착순	NNG
전주 여행	24	마감	NNG
전주 여행	24	계획	NNG
전주 여행	24	으신	EP+ETM
전주 여행	25	필요	NNG
전주 여행	25	가요	NNG
전주 여행	25	안녕	NNG
전주 여행	25	세요	EP+EF
전주 여행	25	계획	NNG
전주 여행	25	입니다	VCP+EF
전주 여행	25	서울	NNP
전주 여행	25	에서	JKB
전주 여행	25	까지	JX
전주 여행	25	기차	NNG
전주 여행	25	건데	NNB+VCP+EC
전주 여행	25	에서	JKB
전주 여행	25	렌트	NNG
전주 여행	25	해야	VV+EC
전주 여행	25	할지	VX+EC
전주 여행	25	궁금	XR
전주 여행	25	합니다	XSA+EF
전주 여행	25	참고	NNG
전주 여행	25	한옥마을	NNP
전주 여행	25	포함	NNG
전주 여행	25	해서	XSV+EC
전주 여행	25	유명	NNG
전주 여행	25	관광지	NNG
전주 여행	25	돌아볼	VV+ETM
전주 여행	25	계획	NNG
전주 여행	25	입니다	VCP+EF
전주 여행	25	맛집	NNG
전주 여행	25	국내	NNG
전주 여행	26	맛집	NNG
전주 여행	26	국내	NNG
전주 여행	26	주달	NNG
전주 여행	26	티비	NNG
전주 여행	26	코스	NNG
전주 여행	26	여수	NNG
전주 여행	26	여수	NNG
전주 여행	26	제주	NNP
전주 여행	26	제주도	NNP
전주 여행	26	전문	NNG
전주 여행	26	언서	NNG
전주 여행	26	주달	NNG
전주 여행	26	봉이	NNG
전주 여행	26	입니다	VCP+EF
전주 여행	26	대중교통	NNG
전주 여행	26	이나	JC
전주 여행	26	택시	NNG
전주 여행	26	이용	NNG
전주 여행	27	완주	NNG
전주 여행	27	맛집	NNG
전주 여행	27	국내	NNG
전주 여행	27	주달	NNG
전주 여행	27	티비	NNG
전주 여행	27	코스	NNG
전주 여행	27	여수	NNG
전주 여행	27	여수	NNG
전주 여행	27	제주	NNP
전주 여행	27	제주도	NNP
전주 여행	27	전문	NNG
전주 여행	27	언서	NNG
전주 여행	27	주달	NNG
전주 여행	27	봉이	NNG
전주 여행	27	입니다	VCP+EF
전주 여행	27	완주	NNP
전주 여행	27	어느	MM
전주 여행	27	느냐	EC
전주 여행	27	따라	VV+EC
전주 여행	28	부탁	NNG
전주 여행	28	드립니다	VV+EC
전주 여행	28	맛집	NNG
전주 여행	28	국내	NNG
전주 여행	28	주달	NNG
전주 여행	28	티비	NNG
전주 여행	28	코스	NNG
전주 여행	28	여수	NNG
전주 여행	28	여수	NNG
전주 여행	28	제주	NNP
전주 여행	28	제주도	NNP
전주 여행	28	전문	NNG
전주 여행	28	언서	NNG
전주 여행	28	주달	NNG
전주 여행	28	봉이	NNG
전주 여행	28	입니다	VCP+EF
전주 여행	28	코스	NNG
전주 여행	29	코스	NNG
전주 여행	29	세요	EP+EF
전주 여행	29	ㅜㅜ	UNKNOWN
전주 여행	29	코스	NNG
전주 여행	29	드릴	VX+ETM
전주 여행	29	습니다	EF
전주 여행	29	역사	NNG
전주 여행	29	유적지	NNG
전주 여행	29	전통문화	NNG
전주 여행	29	빛나	VV
전주 여행	29	으로	JKB
전주 여행	29	유명	XR
전주 여행	29	한데요	XSA+EF
전주 여행	29	먼저	MAG
전주 여행	29	한옥마을	NNP
전주 여행	29	방문	NNG
전주 여행	29	아름다움	VA+ETN
전주 여행	29	느낄	VV+ETM
전주 여행	29	습니다	EF
전주 여행	29	시작	NNG
전주 여행	29	라고	EC
전주 여행	29	한옥	NNG
전주 여행	29	마을	NNG
전주 여행	29	에서	JKB
전주 여행	30	대중교통	NNG
전주 여행	30	이랑	JC
전주 여행	30	렌트카	NNG
전주 여행	30	어떤	MM
전주 여행	30	을까요	EF
전주 여행	30	움직이	VV
전주 여행	30	편할지	VA+EC
전주 여행	30	대중교통	NNG
전주 여행	30	편할지	VA+EC
전주 여행	30	알려	VV+EC
전주 여행	30	세요	EP+EF
전주 여행	30	교통	NNG
전주 여행	30	상황	NNG
전주 여행	30	어떤지	VA+EC
전주 여행	30	궁금	XR
전주 여행	30	합니다	XSA+EF
전주 여행	30	맛집	NNG
전주 여행	30	국내	NNG
전주 여행	30	주달	NNG
전주 여행	30	티비	NNG
전주 여행	30	코스	NNG
전주 여행	30	여수	NNG
전주 여행	30	여수	NNG
전주 여행	30	제주	NNP
전주 여행	31	가시	VV
전주 여행	31	는군요	EC
전주 여행	31	그렇	VA
전주 여행	31	다면	EC
전주 여행	31	에서	JKB
전주 여행	31	연인	NNG
전주 여행	31	제일	MAG
전주 여행	31	많이	MAG
전주 여행	31	추천	NNG
전주 여행	31	드리	VX
전주 여행	31	습니다	EF
전주 여행	31	한옥마을	NNP
전주 여행	31	동물원	NNP
전주 여행	31	한국도로공사	NNP
전주 여행	31	수목원	NNG
전주 여행	31	향교	NNP
전주 여행	31	덕진	NNP
전주 여행	31	공원	NNG
전주 여행	32	관련	NNG
전주 여행	32	맛집	NNG
전주 여행	32	국내	NNG
전주 여행	32	주달	NNG
전주 여행	32	티비	NNG
전주 여행	32	코스	NNG
전주 여행	32	여수	NNG
전주 여행	32	여수	NNG
전주 여행	32	제주	NNP
전주 여행	32	제주도	NNP
전주 여행	32	전문	NNG
전주 여행	32	언서	NNG
전주 여행	32	주달	NNG
전주 여행	32	봉이	NNG
전주 여행	32	입니다	VCP+EF
전주 여행	32	주말	NNG
전주 여행	32	인지	VCP+EC
전주 여행	32	평일	NNG
전주 여행	32	인지	VCP+EC
전주 여행	32	따라	VV+EC
전주 여행	32	다릅니다	VA+EC
전주 여행	33	려고	EC
전주 여행	33	vs	SL
전주 여행	33	어떤	MM
전주 여행	33	적당	XR
전주 여행	33	할지	XSA+EC
전주 여행	33	추천	NNG
전주 여행	33	세요	EP+EF
전주 여행	33	맛집	NNG
전주 여행	33	국내	NNG
전주 여행	33	주달	NNG
전주 여행	33	티비	NNG
전주 여행	33	코스	NNG
전주 여행	33	여수	NNG
전주 여행	33	여수	NNG
전주 여행	33	제주	NNP
전주 여행	33	제주도	NNP
전주 여행	33	전문	NNG
전주 여행	33	언서	NNG
전주 여행	33	주달	NNG
전주 여행	33	봉이	NNG
전주 여행	33	입니다	VCP+EC
전주 여행	34	이번	NNG
전주 여행	34	처음	MAG
전주 여행	34	는데	EC
전주 여행	34	추천	NNG
전주 여행	34	세요	EP+EF
전주 여행	34	은데	EC
전주 여행	34	위주	NNG
전주 여행	34	해요	VX+EF
전주 여행	34	트레	NNP
전주 여행	34	해요	VX+EF
전주 여행	34	계획	NNG
전주 여행	34	군요	EF
전주 여행	34	다양	XR
전주 여행	34	볼거리	NNG
전주 여행	35	경비	NNG
전주 여행	35	식비	NNG
전주 여행	35	교통비	NNG
전주 여행	35	잡혀서	VV+EC
전주 여행	35	마실	VV+ETM
전주 여행	35	건데	NNB+VCP+EC
전주 여행	35	많이	MAG
전주 여행	35	마셔서	VV+EC
전주 여행	35	술값	NNG
전주 여행	35	으로	JKB
전주 여행	35	마실	VV+ETM
전주 여행	35	아요	EF
전주 여행	35	맛집	NNG
전주 여행	35	국내	NNG
전주 여행	35	주달	NNG
전주 여행	35	티비	NNG
전주 여행	35	코스	NNG
전주 여행	35	여수	NNG
전주 여행	35	여수	NNG
전주 여행	36	비용	NNG
전주 여행	36	맛집	NNG
전주 여행	36	국내	NNG
전주 여행	36	주달	NNG
전주 여행	36	티비	NNG
전주 여행	36	코스	NNG
전주 여행	36	여수	NNG
전주 여행	36	여수	NNG
전주 여행	36	제주	NNP
전주 여행	36	제주도	NNP
전주 여행	36	전문	NNG
전주 여행	36	언서	NNG
전주 여행	36	주달	NNG
전주 여행	36	봉이	NNG
전주 여행	36	입니다	VCP+EF
전주 여행	36	한옥마을	NNP
전주 여행	36	입장료	NNG
전주 여행	36	따로	MAG
전주 여행	36	습니다	EF
전주 여행	36	기본	NNG
전주 여행	37	친구	NNG
전주 여행	37	친구	NNG
전주 여행	37	려고	EC
전주 여행	37	합니다	VX+EC
전주 여행	37	호텔	NNG
전주 여행	37	맛집	NNG
전주 여행	37	추천	NNG
전주 여행	37	세요	EP+EF
전주 여행	37	호텔	NNG
전주 여행	37	시설	NNG
전주 여행	37	괜찮	VA
전주 여행	37	깨끗	XR
전주 여행	37	했으면	XSA+EP+EC
전주 여행	37	어요	EF
전주 여행	37	한옥	NNP
전주 여행	37	어도	EC
전주 여행	37	괜찮	VA
전주 여행	37	아요	EF
전주 여행	37	침대	NNG
전주 여행	37	어요	EF
전주 여행	37	맛집	NNG
전주 여행	37	양식	NNG
전주 여행	37	중식	NNG
전주 여행	37	일식	NNG
전주 여행	37	상관없	VA
전주 여행	37	습니다	EF
전주 여행	37	비용	NNG
전주 여행	37	인당	NNG
전주 여행	38	크리스마스	NNG
전주 여행	38	맛집	NNG
전주 여행	38	국내	NNG
전주 여행	38	주달	NNG
전주 여행	38	티비	NNG
전주 여행	38	코스	NNG
전주 여행	38	여수	NNG
전주 여행	38	여수	NNG
전주 여행	38	제주	NNP
전주 여행	38	제주도	NNP
전주 여행	38	전문	NNG
전주 여행	38	언서	NNG
전주 여행	38	주달	NNG
전주 여행	38	봉이	NNG
전주 여행	38	입니다	VCP+EF
전주 여행	38	코스	NNG
전주 여행	38	한옥	NNG
전주 여행	38	마을	NNG
전주 여행	38	에서부터	JKB
전주 여행	38	시작	NNG
전주 여행	39	~.~	SY
전주 여행	39	질문	NNG
전주 여행	39	일정	NNG
전주 여행	39	관련	NNG
전주 여행	39	답변	NNG
전주 여행	39	드리	VV
전주 여행	39	도록	EC
전주 여행	39	습니다	EF
전주 여행	39	가실	NNG
전주 여행	39	계획	NNG
